0,0,0.5,0.7,0.9,0.95
0.003,1001,1001,1001,1001,1001
0.01,563,558,552,516,448
0.03,186,181,174,115,175
0.1,1001,48,35,91,122
0.3,1001,1001,29,83,92
1,1001,1001,1001,92,146
3,1001,1001,1001,1001,147
10,1001,1001,1001,1001,1001
